No,Name,PTI-IND,PML-N,PPP,JIP,Total Votes,Filename
219,"Islamabad Model College for Boys F-7/3, Islamabad. (Female)",255,58,7,13,,
220,"The Efa School System, Near Masjid Hasnan Kriman Opra Shehar, Bari Imam, Noor P",255,87,56,11,,
221,"The Efa School System, Near Masjid Hasnan Kriman Opra Shehar, Bari Imam, Noor P",179,48,39,5,,
222,"Asif Public Model School Mohalla Chowk Noor Pur Shahan, Islamabad. (Male)",257,130,37,15,,
223,"Asif Public Model School Mohalla Chowk Noor Pur Shahan, Islamabad. (Female)",221,83,29,10,,
224,"Sultan Model School, Mohalla Chowk Noor Pur Shahan, Islamabad. (Male)",332,150,80,6,,
225,"Sultan Model School, Mohalla Chowk Noor Pur Shahan, Islamabad. (Female)",278,113,81,9,,
226,Islamabad Model School for Boys (VI-X)  Noor Pur Shahan (Male),381,203,76,7,,
227,Islamabad Model School for Boys (VI-X)  Noor Pur Shahan (Female),240,157,60,4,,
228,Islamabad Model School For Girls (I-X) Noor Pur Shahan (Male),450,156,48,5,,
229,Islamabad Model School For Girls (I-X) Noor Pur Shahan (Female),373,107,45,4,,
230,"Islamabad Model School for Boys (VI-X) Noor Pur Shahan, Islamabad.  (Combined)",243,171,25,7,,
231,Islamabad Model School for Boys (VI-X)  Noor Pur Shahan  (Combined),281,137,29,3,,
232,"Jinnah School and Technical Institute, Muslim Colony, Islamabad. (Male)",280,133,30,14,,
233,"Jinnah School and Technical Institute, Muslim Colony, Islamabad. (Female)",156,80,35,4,,
234,"Office of the Pakistan Engineering Concial (East) G-5/2, Islamabad. (Male)",202,55,44,12,,
235,"Office of the Pakistan Engineering Concial (East) G-5/2, Islamabad. (Female)",135,32,18,5,,
236,Islamabad Model School for Girls(I-X) PM STAFF COLONY G-5 Islamabad (Male),207,155,37,10,,
237,Islamabad Model School for Girls (I-X) PM STAFF COLONY G-5 Islamabad (Female),159,94,20,6,,
238,Islamabad Model School for Girls (I-X) PM STAFF COLONY G-5 Islamabad (Male),221,70,35,16,,
239,Islamabad Model School for Girls (I-X) PM STAFF COLONY G-5 Islamabad (Female),137,48,22,6,,
240,"Usmania Technical Model School, Muslim Colony, Islamabad. (Male)",357,140,49,21,,
241,"Usmania Technical Model School, Muslim Colony, Islamabad. (Female)",274,95,50,16,,
242,"Usmania Technical Model School, Muslim Colony, Islamabad. (Male)",265,143,99,16,,
243,"Usmania Technical Model School, Muslim Colony, Islamabad. (Female)",152,109,75,10,,
244,"Islamabad Model College for Girls, University colony (Male)",180,249,164,34,,
